RabbitID,SurgeryID,AgeWeeks,WeightKg,Sex,Strain,SurgeryType,DurationMin,AnesthesiaProtocol,LocalBlock,IntraOpAnalgesicMgPerKg,PreOpGrimace,PreOpBehaviorScore,PreOpBiomarker,Housing,VetID,SurgeryPainBoost,LatentPain,ExpectedPainDurationDays,DurationPerKg,PreOpGrimaceFilled,PreOpBiomarkerFilled,PreOpRiskScore,SurgeryComplexity,AnalgesiaNeedScore,AnalgesiaNeedCategory,FirstPostOpGrimace,RescueAnalgesiaGiven,AnalgesicScore,VetBiasFlag,DurationPerKg_x_PreOpGrimace,PreOpRiskScore_x_SurgeryComplexity,DurationPerKg_x_AnalgesicScore,LocalBlock_x_PreOpGrimace,BaselineAnalgesiaNeedScore,BaselineAnalgesiaNeedCategory
11,3961,17,5.0,Female,New Zealand White,Ovariohysterectomy,51,Protocol2,0,0.4806621944850704,0.0,3,51.26,Group,Vet3,8.0,46.721299599279995,3,10.2,0.0,51.26,17.941,Major,50.42966068403298,Medium,2.0,True,0.003335784066659765,-1.6394147822303844,0.0,17.941,0.0340249974799296,0.0,53,Medium
12,4446,37,2.95,Male,Dutch Belted,Castration,20,Protocol2,0,0.2794183959793866,2.0,0,50.35,Group,Vet1,5.5,50.266442462090694,2,6.779661016949152,2.0,50.35,18.9225,Minor,56.59375475542085,Medium,1.0,False,-0.33242448061730406,-0.41819435392072657,13.559322033898304,0.0,-2.2537252923207056,0.0,39,Medium
13,4444,19,3.71,Female,Californian,OcularImplant,80,Protocol2,0,0.018400413807470713,2.0,3,50.42,Single,Vet1,10.0,53.42808275839881,5,21.5633423180593,2.0,50.42,18.947,Major,62.09103623616849,Medium,2.0,False,-0.8568578699062681,-0.41819435392072657,43.1266846361186,18.947,-18.47671956671198,0.0,59,Medium
14,1154,31,2.49,Male,New Zealand White,Catheter,45,Protocol2,1,1.3459617048719315,1.0,2,50.91,Group,Vet8,1.5,38.066286091823564,2,18.072289156626503,1.0,50.91,18.468499999999995,Minor,35.3808122980482,Medium,3.0,False,1.0610770991549774,-1.1829958311471658,18.072289156626503,0.0,19.176092153403204,1.0,33,Low
15,7002,23,4.59,Male,New Zealand White,Castration,20,Protocol1,1,0.026341758747705037,4.0,3,54.15,Single,Vet4,5.5,49.738117705723674,4,4.357298474945534,4.0,54.15,21.5525,Minor,55.67513352504613,Medium,2.0,False,-0.8390047193503646,0.8154085693885433,17.429193899782135,0.0,-3.655793984097449,4.0,44,Medium
16,4124,39,2.33,Female,Dutch Belted,Catheter,36,Protocol2,0,1.66470981407032,2.0,3,61.88,Group,Vet10,1.5,44.02700002753772,3,15.450643776824034,2.0,61.88,22.958000000000002,Minor,45.744964845413875,Medium,3.0,False,1.3538937134946478,-0.4211467620244322,30.901287553648068,0.0,20.91852947888726,0.0,33,Low
17,9308,11,4.03,Male,New Zealand White,Catheter,46,Protocol2,0,0.4341193101729275,3.0,1,59.48,Single,Vet3,1.5,42.766272670819085,1,11.414392059553348,3.0,59.48,22.767999999999997,Minor,43.552883362123644,Medium,2.0,True,-0.07007187608912013,0.12739984580385016,34.24317617866004,0.0,-0.7998278660296589,0.0,31,Low
18,9130,16,3.02,Female,New Zealand White,Ovariohysterectomy,40,Protocol2,0,0.017738843795477507,0.0,4,47.85,Group,Vet7,8.0,47.84397984107051,3,13.245033112582782,0.0,47.85,16.7475,Major,52.38171364502383,Medium,1.0,False,-0.8583514397168485,-1.6423012000541857,0.0,16.7475,-11.36889324128276,0.0,43,Medium
19,3849,40,2.52,Female,New Zealand White,BoneDefect,158,Protocol2,0,0.7714610789144817,1.0,4,36.05,Single,Vet5,12.0,51.39405150636063,6,62.698412698412696,1.0,36.05,13.267499999999998,Major,58.554377639632925,Medium,0.0,False,0.4154754619944105,-0.9918941495788447,62.698412698412696,13.267499999999998,26.04965198218923,0.0,76,High
20,5000,34,3.11,Male,Dutch Belted,Castration,20,Protocol1,0,0.48711989448991777,3.0,2,37.7,Single,Vet4,5.5,41.29761588522172,4,6.430868167202573,3.0,37.7,15.145,Minor,40.99926593813446,Medium,2.0,True,0.013338172580865034,0.19376045213193113,19.29260450160772,0.0,0.08577602945893913,0.0,36,Medium
21,1417,14,5.0,Female,New Zealand White,BoneDefect,129,Protocol1,1,0.01332551055591217,2.0,1,44.14,Single,Vet8,12.0,52.0287472421502,7,25.8,2.0,44.14,16.749,Major,59.6579507179302,Medium,1.0,False,-0.8683399540722715,-0.5641643704916243,51.6,16.749,-22.403170815064605,2.0,66,Medium
22,5968,18,3.23,Male,Dutch Belted,Catheter,50,Protocol2,0,0.4017905757343625,5.0,4,42.19,Single,Vet1,1.5,41.749475215856265,2,15.479876160990711,5.0,42.19,18.0165,Minor,41.7849334073595,Medium,4.0,False,-0.12247682101077897,1.4508306915350344,77.39938080495355,0.0,-1.8959260218386838,0.0,34,Low
23,5491,35,4.08,Female,Dutch Belted,Ovariohysterectomy,52,Protocol1,1,0.04411991871321621,3.0,5,50.0,Group,Vet10,8.0,50.68622634820183,5,12.745098039215685,3.0,50.0,19.45,Major,57.32365125431408,Medium,5.0,False,-0.7995328709136644,0.19766608095017152,38.23529411764706,19.45,-10.190124825370232,3.0,55,Medium
24,2542,34,5.0,Female,New Zealand White,BoneDefect,128,Protocol2,0,0.031812897604394805,4.0,2,69.92,Single,Vet2,12.0,68.26032229146529,7,25.6,4.0,69.92,27.072,Major,87.88049615618246,High,5.0,1,-0.8267850928408818,0.8131268199318483,102.4,27.072,-21.165698376726574,0.0,85,High
25,9905,33,5.0,Male,New Zealand White,Castration,20,Protocol2,0,1.0358251869131996,3.0,0,42.36,Single,Vet3,5.5,40.66165419291432,3,4.0,3.0,42.36,16.776,Minor,39.89349168618405,Medium,5.0,False,0.7351761495460812,0.12739984580385016,12.0,0.0,2.940704598184325,0.0,47,Medium
26,1133,39,4.57,Male,New Zealand White,BoneDefect,109,Protocol2,0,0.027225095665762332,5.0,0,63.75,Group,Vet1,12.0,65.33229534353052,6,23.85120350109409,5.0,63.75,25.5625,Major,82.78940836393502,High,5.0,1,-0.837027409453286,1.4508306915350344,119.25601750547045,25.5625,-19.964111078863933,0.0,86,High
27,9120,32,2.15,Male,New Zealand White,OcularImplant,144,Protocol1,1,0.030069293532510446,0.0,0,44.68,Group,Vet5,10.0,46.54184094847004,6,66.97674418604652,0.0,44.68,15.637999999999998,Major,50.11762812333671,Medium,0.0,False,-0.8306723324221933,-1.5927957469019451,0.0,15.637999999999998,-55.63572831106784,0.0,57,Medium
28,3779,27,1.92,Male,Dutch Belted,Castration,20,Protocol2,0,0.01855528205743205,4.0,0,67.26,Single,Vet4,5.5,57.902739357516616,4,10.416666666666668,4.0,67.26,26.141000000000002,Minor,69.8713162647851,Medium,4.0,True,-0.856508377305009,0.8154085693885433,41.66666666666667,0.0,-8.921962263593844,0.0,45,Medium
29,9702,17,4.42,Male,Dutch Belted,OcularImplant,128,Protocol1,0,1.5646522444038067,0.0,5,54.95,Single,Vet9,10.0,49.401363540468964,6,28.959276018099548,0.0,54.95,19.232499999999998,Major,55.08960441271129,Medium,0.0,False,1.2659284063899383,-1.834442999949462,0.0,19.232499999999998,36.66037013979912,0.0,66,Medium
30,5544,38,3.75,Male,New Zealand White,Catheter,20,Protocol1,0,1.5784855515962932,5.0,0,50.08,Group,Vet1,1.5,48.219628476079386,1,5.333333333333333,5.0,50.08,20.778,Minor,53.034870263413914,Medium,4.0,False,1.2782923235364987,1.4508306915350344,26.666666666666664,0.0,6.817559058861326,0.0,44,Medium
31,8002,23,2.07,Male,Californian,Castration,20,Protocol1,0,2.578351335768382,4.0,4,61.5,Single,Vet7,5.5,52.575115684424034,2,9.66183574879227,4.0,61.5,24.125,Minor,60.60794528969857,Medium,5.0,False,2.031480592607988,0.7395898364757038,38.64734299516908,0.0,19.627831812637567,0.0,34,Low
32,8941,21,3.85,Male,New Zealand White,Castration,24,Protocol1,0,2.6329757651499626,0.0,1,31.41,Group,Vet1,5.5,25.25827601830147,2,6.233766233766234,0.0,31.41,10.9935,Minor,13.110968171687649,Low,0.0,0,2.066301268928135,-1.664211050891234,0.0,0.0,12.880839079032532,0.0,33,Low
33,6124,22,1.37,Male,Dutch Belted,OcularImplant,82,Protocol2,0,0.03485476830383692,0.0,2,52.44,Group,Vet2,10.0,53.10301858667633,4,59.85401459854014,0.0,52.44,18.354,Major,61.525833023977896,Medium,2.0,False,-0.8200191613474566,-1.629405294204518,0.0,18.354,-49.08143885437331,0.0,63,Medium
34,7493,37,2.77,Male,New Zealand White,Castration,20,Protocol1,0,1.5530574221078715,2.0,0,54.04,Single,Vet10,5.5,47.23361774206536,3,7.2202166064981945,2.0,54.04,20.214,Minor,51.32045051925671,Medium,3.0,True,1.2555137157640885,-0.4211467620244322,14.440433212996389,0.0,9.065080980246126,0.0,28,Low
35,4345,47,4.82,Female,New Zealand White,OcularImplant,111,Protocol2,0,0.02368539273496745,1.0,4,53.0,Group,Vet7,10.0,57.705008444009806,4,23.029045643153527,1.0,53.0,19.199999999999996,Major,69.52751292628969,Medium,2.0,False,-0.8449611449658527,-1.0468284409217132,23.029045643153527,19.199999999999996,-19.458648774109886,0.0,72,High
36,7371,36,4.82,Male,Californian,BoneDefect,117,Protocol1,0,0.30629322627712496,0.0,4,61.2,Group,Vet4,12.0,56.45263715236303,6,24.273858921161825,0.0,61.2,21.419999999999998,Major,67.34996049673943,Medium,2.0,False,-0.2846453261440704,-1.6711838996379054,0.0,21.419999999999998,-6.909440489389261,0.0,78,High
37,4517,23,3.76,Male,Californian,Castration,21,Protocol2,0,0.03625480189680808,2.0,4,54.97,Group,Vet5,5.5,45.59192166938338,3,5.585106382978724,2.0,54.97,20.5395,Minor,48.465962161454215,Medium,3.0,False,-0.8169117938067166,-0.39099255225574425,11.170212765957448,0.0,-4.562539273920493,0.0,47,Medium
38,7316,18,3.57,Female,Californian,Ovariohysterectomy,79,Protocol2,0,2.5816700330552127,2.0,2,45.13,Single,Vet9,8.0,51.0288798114938,4,22.128851540616246,2.0,45.13,17.0955,Major,57.91943773270272,Medium,4.0,True,2.0336112348380357,-0.5866038234175253,44.25770308123249,17.0955,45.00148110706017,0.0,61,Medium
39,1260,19,2.88,Male,Dutch Belted,Castration,20,Protocol1,1,0.02588568348489212,2.0,2,50.02,Group,Vet3,5.5,47.55094930974891,2,6.944444444444445,2.0,50.02,18.807000000000002,Minor,51.87220871651918,Medium,2.0,False,-0.8400262895398201,-0.46153836354089467,13.88888888888889,0.0,-5.833515899582084,2.0,34,Low
40,2908,47,3.03,Male,Dutch Belted,Catheter,20,Protocol2,0,0.02930769545506193,2.0,5,47.93,Single,Vet1,1.5,42.37259151188911,1,6.6006600660066015,2.0,47.93,18.075499999999998,Minor,42.86837281016992,Medium,1.0,False,-0.8323723256090267,-0.41819435392072657,13.201320132013203,0.0,-5.494206769696547,0.0,24,Low
41,5227,27,2.74,Female,Dutch Belted,Ovariohysterectomy,40,Protocol1,1,1.6431246629728382,5.0,3,48.82,Single,Vet5,8.0,52.209901230283336,4,14.5985401459854,5.0,48.82,20.337,Major,59.97293103535932,Medium,3.0,False,1.3351999263291638,1.411712239713557,72.992700729927,20.337,19.491969727433048,5.0,54,Medium
42,8667,33,4.95,Male,New Zealand White,Castration,20,Protocol1,1,0.39900974462399735,4.0,2,36.09,Single,Vet7,5.5,37.66144804315816,4,4.040404040404041,4.0,36.09,15.2315,Minor,34.67690277670604,Low,2.0,0,-0.1270408646303218,0.7395898364757038,16.161616161616163,0.0,-0.513296422748775,4.0,43,Medium
43,7371,41,5.0,Female,New Zealand White,OcularImplant,95,Protocol1,1,2.4010424371217134,3.0,5,48.48,Group,Vet10,10.0,51.036194876244664,6,19.0,3.0,48.48,18.917999999999996,Major,57.93215675391215,Medium,1.0,False,1.9146750463190678,0.19766608095017152,57.0,18.917999999999996,36.37882588006229,3.0,63,Medium
44,1814,15,1.45,Male,Californian,Catheter,20,Protocol2,1,0.4081363213776464,2.0,2,44.9,Group,Vet5,1.5,36.20784530147569,2,13.793103448275863,2.0,44.9,17.014999999999997,Minor,32.149460473561675,Low,4.0,0,-0.11209566889564661,-0.39099255225574425,27.586206896551726,0.0,-1.5461471571813326,2.0,26,Low
45,4030,51,3.38,Male,Dutch Belted,BoneDefect,178,Protocol1,0,0.018753750940069345,4.0,4,50.71,Single,Vet10,12.0,57.78170629677253,9,52.662721893491124,4.0,50.71,20.3485,Major,69.660870818425,Medium,5.0,True,-0.8560605684336373,0.8164789239247752,210.6508875739645,20.3485,-45.08247963940457,0.0,73,High
46,4600,20,4.85,Male,Californian,BoneDefect,163,Protocol2,1,0.3364535006104792,2.0,5,45.05,Single,Vet2,12.0,45.44555709286564,8,33.608247422680414,2.0,45.05,17.0675,Major,48.2114717069683,Medium,2.0,False,-0.2321820052757464,-0.4081392371363348,67.21649484536083,17.0675,-7.803230280401374,2.0,77,High
47,3482,35,4.1,Male,Californian,BoneDefect,141,Protocol1,0,0.39614058901875016,3.0,0,47.31,Group,Vet8,12.0,60.05306559750757,6,34.390243902439025,3.0,47.31,18.508499999999998,Major,73.61018201446299,High,5.0,1,-0.13175938964477296,0.0546670901639172,103.17073170731707,18.508499999999998,-4.531237546320241,0.0,85,High
48,9038,41,1.96,Female,Dutch Belted,BoneDefect,134,Protocol1,0,0.39437868537205417,5.0,5,52.59,Group,Vet3,12.0,64.2926330451279,6,68.36734693877551,5.0,52.59,21.6565,Major,80.98170231150583,High,3.0,1,-0.13466177025000664,1.30527626449334,341.8367346938776,21.6565,-9.206467966071882,0.0,77,High
49,4675,34,3.53,Male,Dutch Belted,Castration,20,Protocol1,0,0.022865030382008357,2.0,2,77.71,Group,Vet9,5.5,58.76333817224462,1,5.6657223796034,2.0,77.71,28.498499999999996,Minor,71.3676768508018,High,3.0,1,-0.8468037848772795,-0.5866038234175253,11.3314447592068,0.0,-4.797755155112066,0.0,45,Medium
50,4452,39,4.17,Male,Californian,Castration,23,Protocol1,1,0.28282610644993805,1.0,1,50.6,Group,Vet7,5.5,44.5355994812854,4,5.5155875299760195,1.0,50.6,18.36,Minor,46.62928883428457,Medium,0.0,False,-0.32631084497232515,-1.0468284409217132,5.5155875299760195,0.0,-1.7997960274252947,1.0,40,Medium
51,3768,12,3.96,Female,Dutch Belted,OcularImplant,79,Protocol2,0,0.4728381463713161,4.0,3,48.45,Single,Vet8,10.0,54.69806997361893,7,19.949494949494948,4.0,48.45,19.5575,Major,64.29921823814011,Medium,5.0,False,-0.008841562907891303,0.6734985508194586,79.79797979797979,19.5575,-0.17638471457661942,0.0,63,Medium
52,6475,24,3.22,Female,Dutch Belted,Ovariohysterectomy,64,Protocol1,0,2.785437503349155,4.0,1,55.34,Group,Vet7,8.0,55.014160781758065,6,19.875776397515526,4.0,55.34,21.969,Major,64.84881907282295,Medium,2.0,False,2.160787424176336,0.7395898364757038,79.5031055900621,21.969,42.94732768549239,0.0,53,Medium
53,3681,20,4.45,Male,New Zealand White,Castration,21,Protocol2,0,0.04771989435678757,1.0,3,48.01,Group,Vet10,5.5,41.442376783295046,4,4.719101123595506,1.0,48.01,17.4535,Minor,41.25096800716621,Medium,0.0,False,-0.791621919004502,-1.0399596049990358,4.719101123595506,0.0,-3.7357438874369757,0.0,44,Medium
54,7212,26,2.15,Male,Dutch Belted,Castration,20,Protocol2,1,2.095393041597587,2.0,2,60.07,Single,Vet6,5.5,48.26918040956532,2,9.30232558139535,2.0,60.07,22.3245,Minor,53.12102836514534,Medium,1.0,True,1.6982406171955466,-0.46059994921952757,18.6046511627907,0.0,15.797587136702761,2.0,29,Low
55,8970,35,2.49,Male,Californian,Castration,29,Protocol1,0,0.3286691905198663,4.0,0,51.8,Group,Vet9,5.5,49.81057795208774,1,11.646586345381525,4.0,51.8,20.73,Minor,55.80112330664547,Medium,5.0,False,-0.24560845944236037,0.6612353531144114,46.5863453815261,0.0,-2.8605001300515864,0.0,39,Medium
56,7609,45,1.86,Female,Californian,OcularImplant,103,Protocol1,1,2.0728392544206007,3.0,0,49.86,Group,Vet7,10.0,65.34064769125486,7,55.376344086021504,3.0,49.86,19.400999999999996,Major,82.80393095416117,High,5.0,1,1.6814325463378823,0.1441170773432314,166.1290322580645,19.400999999999996,93.11158724344186,3.0,60,Medium
57,6392,37,1.28,Male,Dutch Belted,BoneDefect,99,Protocol2,0,0.2937975196971471,2.0,4,63.29,Single,Vet7,12.0,70.42152976447261,8,77.34375,2.0,63.29,23.4515,Major,91.63828157892326,High,4.0,1,-0.3067372142251765,-0.45135568178924096,154.6875,23.4515,-23.724206412728496,0.0,83,High
58,9502,14,5.0,Female,New Zealand White,BoneDefect,129,Protocol1,0,0.02710368402402813,3.0,0,21.88,Group,Vet2,12.0,43.97309395997619,9,25.8,3.0,21.88,9.608,Major,45.65123602140694,Medium,3.0,False,-0.8372990831295046,0.20249379139775678,77.4,9.608,-21.60231634474122,0.0,86,High
59,1920,38,2.16,Male,Dutch Belted,Castration,27,Protocol1,1,1.0478692367683107,4.0,5,74.99,Single,Vet8,5.5,58.74503962719215,2,12.5,4.0,74.99,28.8465,Minor,71.33586037472796,High,2.0,1,0.7487335912107116,0.6734985508194586,50.0,0.0,9.359169890133895,4.0,47,Medium
60,2828,37,1.51,Male,New Zealand White,Catheter,59,Protocol1,0,0.018129977060309086,0.0,4,33.79,Single,Vet9,1.5,30.931992083603856,3,39.0728476821192,0.0,33.79,11.8265,Minor,22.976105040428873,Low,2.0,0,-0.8574682944516434,-1.834442999949462,0.0,0.0,-33.5037280613556,0.0,29,Low
61,2796,35,3.2,Male,Dutch Belted,BoneDefect,166,Protocol2,1,0.026878346911736437,5.0,4,50.72,Single,Vet9,12.0,60.95276747677116,7,51.875,5.0,50.72,21.002,Major,75.17453279935303,High,4.0,1,-0.8378033881178956,1.2851549413803798,259.375,21.002,-43.46105075861583,5.0,66,Medium
62,2218,18,4.29,Female,New Zealand White,Ovariohysterectomy,100,Protocol1,0,0.031192308444138617,2.0,5,50.27,Group,Vet8,8.0,43.487022909745654,5,23.31002331002331,2.0,50.27,18.8945,Major,44.80608314747625,Medium,2.0,False,-0.8281678981949842,-0.5641643704916243,46.62004662004662,18.8945,-19.304613011538095,0.0,53,Medium
63,2591,22,2.57,Male,Dutch Belted,Catheter,20,Protocol2,1,0.010195714292849751,1.0,1,46.82,Group,Vet1,1.5,37.989571894705556,2,7.782101167315176,1.0,46.82,17.037,Minor,35.247425987271576,Medium,0.0,True,-0.875449892301157,-1.0412027024059802,7.782101167315176,0.0,-6.812839628802779,1.0,31,Low
64,5795,44,5.0,Male,New Zealand White,BoneDefect,108,Protocol1,1,0.01573441420599238,3.0,0,49.36,Single,Vet5,12.0,58.66914250562429,7,21.6,3.0,49.36,19.226,Major,71.20389474874442,High,4.0,1,-0.8628826024325872,0.20990904506735622,64.80000000000001,19.226,-18.638264212543884,3.0,75,High
65,5543,42,5.0,Female,New Zealand White,BoneDefect,99,Protocol2,1,0.6045776459105902,4.0,4,41.18,Single,Vet1,12.0,49.060342534165045,7,19.8,4.0,41.18,17.012999999999998,Major,54.496656358282216,Medium,5.0,False,0.18806151771908108,0.8278223430497808,79.2,17.012999999999998,3.7236180508378056,4.0,76,High
66,9073,41,1.2000000000000002,Male,Dutch Belted,BoneDefect,152,Protocol2,0,2.422888295425533,3.0,1,53.54,Single,Vet4,12.0,61.792955253539176,7,126.66666666666664,3.0,53.54,20.688999999999997,Major,76.63540382600674,High,5.0,1,1.9293911610132597,0.19376045213193113,379.99999999999994,20.688999999999997,244.3895470616795,0.0,73,High
67,8266,33,4.61,Male,Californian,Castration,24,Protocol1,1,0.038098347665835204,2.0,0,48.69,Single,Vet3,5.5,40.725020884116084,4,5.206073752711497,2.0,48.69,18.3415,Minor,40.00367010795027,Medium,3.0,False,-0.8128264508452017,-0.46153836354089467,10.412147505422993,0.0,-4.231634451254846,2.0,33,Low
68,6626,43,2.29,Male,New Zealand White,OcularImplant,137,Protocol1,0,2.6193925018640924,4.0,4,36.75,Group,Vet5,10.0,50.2316161238266,4,59.82532751091703,4.0,36.75,15.462499999999999,Major,56.533200686507634,Medium,5.0,False,2.0576916891369024,0.8108106423904566,239.3013100436681,15.462499999999999,123.10207921910725,0.0,72,High
69,6655,41,1.24,Male,Dutch Belted,Catheter,39,Protocol2,1,0.35777846214586395,0.0,0,68.27,Group,Vet7,1.5,46.91940112630485,1,31.451612903225808,0.0,68.27,23.894499999999997,Minor,50.77410842436992,Medium,0.0,False,-0.1957972448553781,-1.6423012000541857,0.0,0.0,-6.158139152709473,0.0,30,Low
70,4788,36,1.2000000000000002,Male,Dutch Belted,BoneDefect,160,Protocol1,0,0.017984870184134586,5.0,5,55.23,Group,Vet5,12.0,68.0856921446923,8,133.33333333333331,5.0,55.23,22.580499999999997,Major,87.57685912544359,High,5.0,1,-0.857795893702894,1.411712239713557,666.6666666666665,22.580499999999997,-114.37278582705251,0.0,77,High
71,3720,29,2.78,Female,Dutch Belted,OcularImplant,97,Protocol2,0,2.377273011276811,5.0,2,49.86,Group,Vet9,10.0,55.49254582129661,5,34.89208633093526,5.0,49.86,20.700999999999997,Major,65.68060794570418,Medium,4.0,True,1.8985553864743065,1.2851549413803798,174.46043165467628,20.700999999999997,66.24455844892366,0.0,64,Medium
72,9619,17,4.1,Male,New Zealand White,Castration,20,Protocol1,0,0.025045060960511956,1.0,5,49.48,Group,Vet10,5.5,41.65427249534851,3,4.878048780487806,1.0,49.48,17.967999999999996,Minor,41.61940029691199,Medium,2.0,False,-0.8419104037683092,-1.0399596049990358,4.878048780487806,0.0,-4.106880018381997,0.0,43,Medium
73,1021,17,4.68,Male,New Zealand White,BoneDefect,162,Protocol2,0,2.675477931002768,5.0,3,50.71,Single,Vet7,12.0,60.957364457891885,7,34.61538461538462,5.0,50.71,20.9985,Major,75.18252577034718,High,3.0,1,2.0930342650629337,1.335062595608176,173.0769230769231,20.9985,72.45118609833233,0.0,86,High
74,1306,25,1.87,Male,Californian,BoneDefect,101,Protocol2,0,1.7878111645580932,3.0,4,69.77,Group,Vet8,12.0,69.46269109150742,9,54.01069518716577,3.0,69.77,26.369499999999995,Major,89.97110707900586,High,1.0,1,1.4576934988864236,0.0546670901639172,162.03208556149733,26.369499999999995,78.7310392446678,0.0,77,High
75,1955,37,3.0,Male,Californian,Castration,20,Protocol2,0,0.2904107458121889,0.0,3,50.6,Group,Vet5,5.5,45.406766182665635,4,6.666666666666667,0.0,50.6,17.71,Minor,48.1440242644136,Medium,1.0,False,-0.3127616463740745,-1.5927957469019451,0.0,0.0,-2.08507764249383,0.0,33,Low
76,8904,24,3.32,Female,Californian,Ovariohysterectomy,105,Protocol1,0,0.02935156358582594,4.0,3,35.36,Group,Vet3,8.0,48.79527892559577,5,31.626506024096386,4.0,35.36,14.975999999999999,Major,54.03577873462921,Medium,4.0,False,-0.8322743716852828,0.716338055148595,126.50602409638554,14.975999999999999,-26.321930429805633,0.0,67,Medium
77,5555,21,3.51,Male,Dutch Belted,Catheter,51,Protocol2,1,0.044753873647511995,0.0,3,40.44,Group,Vet9,1.5,29.283753650214933,3,14.529914529914532,0.0,40.44,14.153999999999998,Minor,20.110241195542457,Low,0.0,0,-0.7981377772174225,-1.834442999949462,0.0,0.0,-11.596873686065114,0.0,32,Low
78,8029,42,2.33,Male,Californian,OcularImplant,126,Protocol2,0,0.023149815763787402,4.0,3,61.61,Group,Vet8,10.0,66.37540498473253,7,54.07725321888412,4.0,61.61,24.1635,Major,84.60310846121209,High,3.0,1,-0.8461639526768884,0.6734985508194586,216.30901287553647,24.1635,-45.75822233359997,0.0,59,Medium
